股票代码,股票简称,个股热度[20251224],个股热度排名[20251224],market_code,code,最新价,最新涨跌幅
300322.SZ,硕贝德,55902.0,249,33,300322,26.02,4.288577154308618
002320.SZ,海峡股份,55833.0,250,33,002320,13.2,-1.712583767684292
000858.SZ,五粮液,55820.0,251,33,000858,109.28,-0.40102078016769754
300058.SZ,蓝色光标,55692.5,252,33,300058,8.65,2.4881516587677828
300102.SZ,乾照光电,55444.0,253,33,300102,23.31,1.1279826464208156
002716.SZ,湖南白银,55388.0,254,33,002716,6.75,2.2727272727272783
002115.SZ,三维通信,55148.0,255,33,002115,11.27,4.545454545454548
001316.SZ,润贝航科,55052.0,256,33,001316,38.09,9.991336991048227
000021.SZ,深科技,54818.0,257,33,000021,24.93,2.214022140221399
002251.SZ,步步高,54460.0,258,33,002251,5.68,0.7092198581560291
603993.SH,洛阳钼业,54417.0,259,17,603993,18.68,0.7008086253369218
300602.SZ,飞荣达,53783.0,260,33,300602,33.99,7.597340930674271
603203.SH,快克智能,53261.0,261,17,603203,37.75,5.653512454520021
603023.SH,威帝股份,53204.0,262,17,603023,5.52,-4.498269896193783
601360.SH,三六零,53025.5,263,17,601360,10.51,-0.5676442762535525
601127.SH,赛力斯,52834.5,264,17,601127,119.7,0.05015045135406409
002571.SZ,德力股份,52766.0,265,33,002571,10.35,-6.0798548094373865
300265.SZ,通光线缆,52727.0,266,33,300265,13.7,5.709876543209864
600973.SH,宝胜股份,52707.0,267,17,600973,6.75,3.527607361963197
300548.SZ,长芯博创,52665.0,268,33,300548,154.68,-0.5593056894889132
600549.SH,厦门钨业,52506.5,269,17,600549,41.03,-4.5591998139102135
603300.SH,海南华铁,52388.5,270,17,603300,7.71,0.3906250000000033
000988.SZ,华工科技,52247.5,271,33,000988,80.51,0.813924367643383
000002.SZ,万科A,52198.5,272,33,000002,4.76,-0.6263048016701513
002384.SZ,东山精密,52089.5,273,33,002384,84.1,3.4313122617144165
001317.SZ,三羊马,51805.5,274,33,001317,53.36,-3.4382917119073446
000825.SZ,太钢不锈,51805.0,275,33,000825,5.08,2.0080321285140488
601727.SH,上海电气,51769.5,276,17,601727,8.53,1.5476190476190357
001270.SZ,*ST铖昌,51754.0,277,33,001270,72.84,4.355300859598863
603890.SH,春秋电子,51561.0,278,17,603890,17.25,7.745159275452831
002175.SZ,东方智造,51520.0,279,33,002175,4.64,-2.109704641350222
300870.SZ,欧陆通,51515.5,280,33,300870,246.6,9.260079751883033
300159.SZ,*ST新研,50762.5,281,33,300159,3.38,17.36111111111111
600309.SH,万华化学,50674.5,282,17,600309,77.07,3.0347593582887646
600280.SH,中央商场,50445.5,283,17,600280,4.57,1.1061946902655027
002278.SZ,神开股份,50242.5,284,33,002278,12.09,4.224137931034485
688323.SH,瑞华泰,50223.5,285,17,688323,23.24,19.97934950955084
603516.SH,淳中科技,49963.5,286,17,603516,227.39,5.1077008412683655
603803.SH,瑞斯康达,49525.0,287,17,603803,12.12,3.8560411311053926
000969.SZ,安泰科技,49325.5,288,33,000969,20.22,0.8982035928143699
603799.SH,华友钴业,49134.0,289,17,603799,67.11,1.9598906107566187
000811.SZ,冰轮环境,49114.5,290,33,000811,17.72,5.413444378346224
600522.SH,中天科技,48991.0,291,17,600522,19.22,1.104681746449223
000625.SZ,长安汽车,48877.0,292,33,000625,11.93,0.5054759898904845
600875.SH,东方电气,48786.0,293,17,600875,24.6,-0.4048582995951331
603843.SH,*ST正平,48496.5,294,22,603843,4.5,0.896860986547086
000523.SZ,红棉股份,48419.5,295,33,000523,3.78,-2.827763496143967
300516.SZ,久之洋,48139.5,296,33,300516,70.0,3.351542890890294
300062.SZ,中能电气,48107.0,297,33,300062,10.28,-3.292568203198508
600678.SH,四川金顶,47939.5,298,17,600678,12.91,1.413982717989
600877.SH,电科芯片,47742.0,299,17,600877,16.07,6.423841059602653
600858.SH,银座股份,47571.5,300,17,600858,7.08,-1.2552301255230105
605123.SH,派克新材,47531.5,301,17,605123,89.0,6.548545432778641
002264.SZ,新华都,47152.5,302,33,002264,9.41,2.7292576419213974
603906.SH,龙蟠科技,47007.5,303,17,603906,20.33,-1.3585638039786567
000582.SZ,北部湾港,46820.5,304,33,000582,9.75,2.0942408376963275
000950.SZ,重药控股,46760.5,305,33,000950,6.48,-3.5714285714285614
300397.SZ,天和防务,46718.0,306,33,300397,15.2,5.409153952843269
000564.SZ,供销大集,46338.0,307,33,000564,2.59,0.0
002195.SZ,岩山科技,46292.0,308,33,002195,6.87,2.384500745156485
002938.SZ,鹏鼎控股,46235.0,309,33,002938,52.87,4.672342110473172
002927.SZ,泰永长征,46080.5,310,33,002927,20.15,6.10847814639284
002920.SZ,德赛西威,46071.0,311,33,002920,127.32,2.1092308926136782
300351.SZ,永贵电器,46055.5,312,33,300351,18.63,7.315668202764975
600111.SH,北方稀土,45830.5,313,17,600111,45.62,0.3519577650681843
002130.SZ,沃尔核材,45715.5,314,33,002130,27.0,1.4656144306651657
603686.SH,福龙马,45681.5,315,17,603686,25.18,1.5732150060508292
002169.SZ,智光电气,45239.5,316,33,002169,10.48,4.48654037886342
601606.SH,长城军工,45176.0,317,17,601606,47.64,1.1894647408666148
603977.SH,国泰集团,44769.5,318,17,603977,14.71,0.8224811514736189
000533.SZ,顺钠股份,44655.5,319,33,000533,8.94,-1.5418502202643234
600410.SH,华胜天成,44646.0,320,17,600410,17.17,1.4775413711583922
